czo_id,hs_id,success
2403,-1,False
2406,-1,False
2428,-1,False
2429,-1,False
2432,-1,False
2434,-1,False
2447,-1,False
2450,-1,False
2464,-1,False
2465,-1,False
2468,-1,False
2469,-1,False
2498,-1,False
2500,-1,False
2502,-1,False
2506,-1,False
2518,-1,False
2524,-1,False
2525,-1,False
2529,-1,False
2530,-1,False
2531,-1,False
2532,-1,False
2543,-1,False
2545,-1,False
2560,-1,False
2561,-1,False
2565,-1,False
2582,-1,False
2595,-1,False
2596,-1,False
2597,-1,False
2598,-1,False
2603,-1,False
2610,-1,False
2612,-1,False
2618,-1,False
2621,-1,False
2629,-1,False
2630,-1,False
2631,-1,False
2634,-1,False
2637,-1,False
2638,-1,False
2642,-1,False
2643,-1,False
2644,-1,False
2656,-1,False
2660,-1,False
2664,-1,False
2665,-1,False
2688,-1,False
2731,-1,False
2740,-1,False
2751,-1,False
2783,-1,False
2784,-1,False
2785,-1,False
2788,-1,False
2825,-1,False
2826,-1,False
2888,-1,False
3064,-1,False
3065,-1,False
3412,-1,False
3457,-1,False
3624,-1,False
3639,-1,False
3641,-1,False
3656,-1,False
3657,-1,False
3663,-1,False
3739,-1,False
3896,-1,False
3931,-1,False
3934,-1,False
4035,-1,False
4036,-1,False
4108,-1,False
4149,-1,False
4368,-1,False
4369,-1,False
4685,-1,False
4723,-1,False
4830,-1,False
4897,-1,False
5137,-1,False
5138,-1,False
5270,-1,False
5282,-1,False
5283,-1,False
5343,-1,False
5365,-1,False
5442,-1,False
5454,-1,False
5470,-1,False
5491,-1,False
5492,-1,False
5493,-1,False
5494,-1,False
6103,-1,False
6108,-1,False
6112,-1,False
6113,-1,False
6273,-1,False
6466,-1,False
6566,-1,False
6569,-1,False
6580,-1,False
6585,-1,False
6587,-1,False
6588,-1,False
6597,-1,False
6625,-1,False
6630,-1,False
6636,-1,False
6639,-1,False
6645,-1,False
6651,-1,False
6652,-1,False
6654,-1,False
6659,-1,False
6660,-1,False
6661,-1,False
6675,-1,False
6686,-1,False
6688,-1,False
6696,-1,False
6706,-1,False
6775,-1,False
6778,-1,False
6779,-1,False
6786,-1,False
6787,-1,False
6788,-1,False
6789,-1,False
6795,-1,False
6803,-1,False
6903,-1,False
6910,-1,False
6917,-1,False
6941,-1,False
6942,-1,False
2400,-1,False
2407,-1,False
2414,-1,False
2415,-1,False
2423,-1,False
2425,-1,False
2426,-1,False
2430,-1,False
2431,-1,False
2433,-1,False
2435,-1,False
2436,-1,False
2448,-1,False
2451,-1,False
2452,-1,False
2459,-1,False
2460,-1,False
2461,-1,False
2467,-1,False
2474,-1,False
2475,-1,False
2491,-1,False
2494,-1,False
2497,-1,False
2501,-1,False
2504,-1,False
2514,-1,False
2515,-1,False
2516,-1,False
2517,-1,False
2544,-1,False
2551,-1,False
2556,-1,False
2558,-1,False
2568,-1,False
2570,-1,False
2571,-1,False
2572,-1,False
2573,-1,False
2574,-1,False
2578,-1,False
2580,-1,False
2583,-1,False
2584,-1,False
2585,-1,False
2586,-1,False
2587,-1,False
2588,-1,False
2591,-1,False
2593,-1,False
2594,-1,False
2599,-1,False
2600,-1,False
2601,-1,False
2602,-1,False
2606,-1,False
2607,-1,False
2608,-1,False
2609,-1,False
2613,-1,False
2615,-1,False
2617,-1,False
2619,-1,False
2620,-1,False
2622,-1,False
2624,-1,False
2626,-1,False
2627,-1,False
2628,-1,False
2632,-1,False
2633,-1,False
2639,-1,False
2641,-1,False
2645,-1,False
2646,-1,False
2648,-1,False
2649,-1,False
2650,-1,False
2651,-1,False
2652,-1,False
2653,-1,False
2654,-1,False
2655,-1,False
2658,-1,False
2659,-1,False
2666,-1,False
2692,-1,False
2695,-1,False
2742,-1,False
2752,-1,False
2782,-1,False
2821,-1,False
2822,-1,False
2833,-1,False
2860,-1,False
2862,-1,False
2863,-1,False
2864,-1,False
2865,-1,False
2866,-1,False
2889,-1,False
2915,-1,False
2918,-1,False
2919,-1,False
2921,-1,False
2952,-1,False
3001,-1,False
3029,-1,False
3365,-1,False
3422,-1,False
3590,-1,False
3613,-1,False
3614,-1,False
3615,-1,False
3621,-1,False
3622,-1,False
3623,-1,False
3625,-1,False
3642,-1,False
3648,-1,False
3654,-1,False
3665,-1,False
3676,-1,False
3722,-1,False
3731,-1,False
3732,-1,False
3737,-1,False
3742,-1,False
3790,-1,False
3850,-1,False
3857,-1,False
3868,-1,False
3869,-1,False
3884,-1,False
3886,-1,False
3888,-1,False
3894,-1,False
3932,-1,False
3935,-1,False
3969,-1,False
3970,-1,False
3972,-1,False
4018,-1,False
4032,-1,False
4033,-1,False
4106,-1,False
4107,-1,False
4109,-1,False
4122,-1,False
4123,-1,False
4129,-1,False
4130,-1,False
4135,-1,False
4148,-1,False
4155,-1,False
4165,-1,False
4174,-1,False
4182,-1,False
4324,-1,False
4606,-1,False
4608,-1,False
4610,-1,False
4611,-1,False
4612,-1,False
4614,-1,False
4618,-1,False
4620,-1,False
4637,-1,False
4658,-1,False
4659,-1,False
4660,-1,False
4665,-1,False
4671,-1,False
4673,-1,False
4674,-1,False
4677,-1,False
4678,-1,False
4679,-1,False
4680,-1,False
4681,-1,False
4683,-1,False
4684,-1,False
4686,-1,False
4687,-1,False
4703,-1,False
4730,-1,False
4734,-1,False
4739,-1,False
4741,-1,False
4742,-1,False
4743,-1,False
4828,-1,False
4829,-1,False
4851,-1,False
4871,-1,False
4940,-1,False
4982,-1,False
4997,-1,False
5107,-1,False
5131,-1,False
5139,-1,False
5140,-1,False
5189,-1,False
5190,-1,False
5198,-1,False
5203,-1,False
5272,-1,False
5273,-1,False
